Region,Season,Production Volume (Tonnes),Cultivated Area (Hectares),Yield (kg/ha),Irrigation Coverage (%),Seed Type,Fertilizer Usage (kg/ha),Pesticide Usage (L/ha),Storage Availability,Rainfall (mm),Temperature (°C),Humidity (%),Labor Availability,Wholesale Price (₹/kg),Retail Price (₹/kg),Domestic Consumption (Tonnes),Export Volume (Tonnes),Processing Demand (Tonnes),Transportation Cost (₹/tonne)
Tamil Nadu,Kharif,18471,2561,7034,75,Hybrid,226,5,General,173,30,64,145,20,21,337797,11357,9039,1151
Madhya Pradesh,Rabi,14890,1594,7781,94,Hybrid,227,6,General,137,27,52,143,19,27,333724,8594,12894,1183
Tamil Nadu,Rabi,21030,2320,6824,92,Non-Hybrid,217,4,Cold,162,28,74,129,15,29,397102,5096,9953,947
Andhra Pradesh,Rabi,13805,1645,6473,69,Non-Hybrid,215,4,General,157,29,58,133,16,23,268430,11928,8168,1042
Gujarat,Rabi,13143,1708,7287,91,Hybrid,308,6,General,113,24,56,181,15,26,380519,9503,10239,991
Andhra Pradesh,Rabi,12959,1540,7693,78,Non-Hybrid,246,6,General,175,26,54,145,15,22,274452,5160,13214,1007
Madhya Pradesh,Kharif,21187,1855,7319,90,Non-Hybrid,215,6,General,163,27,57,123,19,27,257110,8589,12951,1061
Punjab,Rabi,21510,2838,6576,85,Hybrid,313,6,Cold,112,29,52,115,19,22,299242,9868,12050,1065
Uttar Pradesh,Kharif,20796,2662,7992,67,Non-Hybrid,288,4,General,167,28,66,118,16,28,391143,7386,14114,1000
Tamil Nadu,Rabi,17692,2554,8097,60,Non-Hybrid,232,6,Cold,83,24,52,101,12,28,256104,8636,12605,1188
West Bengal,Rabi,11591,2733,7356,93,Non-Hybrid,214,7,General,123,26,75,111,18,27,313390,11425,12340,1114
Uttar Pradesh,Rabi,11057,1808,7283,94,Non-Hybrid,237,6,General,129,26,53,141,12,26,346556,6906,13891,973
Tamil Nadu,Rabi,16088,1732,6473,89,Hybrid,209,4,General,81,28,68,127,13,25,251895,5660,8398,1130
Madhya Pradesh,Rabi,18828,2546,7494,90,Hybrid,266,7,Cold,158,29,54,179,16,28,267261,8537,14858,1046
Uttar Pradesh,Rabi,20448,1757,6648,71,Non-Hybrid,216,5,Cold,153,30,73,182,13,30,357525,5767,13025,1151
Andhra Pradesh,Rabi,18566,2005,6642,63,Non-Hybrid,202,6,General,113,24,57,183,14,23,372410,5767,13871,1007
Uttar Pradesh,Kharif,14499,2848,7528,64,Hybrid,209,5,Cold,126,29,55,167,16,30,289845,6820,14649,998
Maharashtra,Kharif,14811,1771,6802,80,Non-Hybrid,221,5,General,92,29,72,183,17,23,267282,10582,11371,1119
Karnataka,Rabi,16479,2985,7782,64,Non-Hybrid,272,6,Cold,169,28,63,196,16,24,271775,10923,12508,1057
Karnataka,Rabi,19168,2126,7292,66,Non-Hybrid,251,6,General,106,27,71,115,20,24,319431,6545,12892,908
Punjab,Kharif,12086,2192,6266,86,Hybrid,247,4,Cold,172,29,67,163,18,29,250454,10220,9483,930
Uttar Pradesh,Rabi,19557,1706,6206,66,Hybrid,320,4,General,164,26,65,111,15,29,368436,10101,13660,926
Rajasthan,Kharif,17181,2281,6839,91,Hybrid,304,7,Cold,137,24,60,103,19,28,327652,11564,13439,1171
Punjab,Kharif,22025,2814,6750,82,Hybrid,237,6,Cold,80,24,72,110,16,27,313239,5719,11450,1138
Maharashtra,Rabi,12788,1872,6031,77,Hybrid,250,4,General,171,26,59,115,17,30,288410,7848,8786,1051
Uttar Pradesh,Rabi,15990,2720,7563,76,Non-Hybrid,279,7,Cold,119,24,65,140,16,21,270960,11895,9499,1149
Gujarat,Rabi,19770,1969,6701,66,Hybrid,305,6,General,84,25,53,193,12,25,377716,8407,12425,1131
Gujarat,Rabi,21742,2152,6792,77,Hybrid,312,4,Cold,136,28,71,147,20,29,308162,10299,9329,952
Rajasthan,Rabi,23098,2080,6147,79,Hybrid,269,5,Cold,86,27,59,151,15,27,267859,9563,11755,1030
Tamil Nadu,Kharif,10296,1871,6394,91,Hybrid,260,7,General,161,26,67,192,15,25,256284,8221,11522,1190
Punjab,Rabi,22440,1806,6235,92,Non-Hybrid,295,4,General,126,25,69,121,19,27,359092,10901,9466,1042
Rajasthan,Rabi,24867,1905,7619,65,Non-Hybrid,224,6,General,155,30,61,151,19,25,313719,6624,11568,982
Punjab,Kharif,19949,2048,7367,84,Non-Hybrid,282,5,Cold,156,24,56,167,12,23,295641,7218,12970,970
Gujarat,Rabi,17256,1214,7473,80,Hybrid,242,7,Cold,124,29,66,176,16,22,380758,8349,9060,1073
Maharashtra,Rabi,10769,2203,6065,95,Non-Hybrid,205,5,Cold,98,27,50,122,14,30,339493,7259,14119,944
Rajasthan,Rabi,19184,2378,7153,93,Non-Hybrid,299,7,Cold,171,25,62,163,14,27,270648,7451,14469,985
Tamil Nadu,Rabi,14154,2991,6380,93,Non-Hybrid,300,5,Cold,161,24,65,199,18,30,384845,7126,10515,1051
Karnataka,Rabi,13950,1799,6620,61,Hybrid,262,7,Cold,107,28,68,165,17,28,360553,9592,11996,968
Andhra Pradesh,Kharif,17814,2944,7861,71,Non-Hybrid,201,6,Cold,170,28,70,109,12,25,276647,10537,10602,1037
Karnataka,Rabi,16414,2495,7528,91,Non-Hybrid,225,6,General,158,24,56,164,19,30,327907,10356,12947,1165
Madhya Pradesh,Kharif,21716,2501,6224,77,Hybrid,270,6,Cold,117,24,66,188,13,24,284079,9275,9632,920
Tamil Nadu,Rabi,17609,1817,6707,61,Non-Hybrid,301,7,Cold,164,28,72,119,15,21,256192,10409,14515,989
Karnataka,Kharif,19011,1401,6794,85,Non-Hybrid,210,4,General,171,25,60,177,19,21,355547,11437,13350,915
Andhra Pradesh,Kharif,13674,1846,6014,69,Non-Hybrid,231,6,Cold,150,26,61,145,20,29,334455,8249,12932,918
West Bengal,Rabi,13656,2698,7437,76,Hybrid,317,6,General,130,26,63,118,14,24,313638,8863,8672,1097
Karnataka,Rabi,15735,2860,7715,91,Hybrid,273,6,General,158,30,60,114,16,21,330014,6270,8589,1139
Rajasthan,Rabi,17884,2960,6748,69,Non-Hybrid,230,5,General,101,26,57,116,13,21,342676,6606,11497,1191
Uttar Pradesh,Rabi,20271,1909,7034,75,Non-Hybrid,203,6,General,168,26,52,142,16,25,347689,10936,12438,1166
Rajasthan,Kharif,10754,2614,6776,66,Hybrid,271,5,Cold,154,24,75,163,13,20,324822,6595,8048,1092
Tamil Nadu,Rabi,10487,1403,8088,65,Hybrid,237,5,General,153,29,58,102,19,25,325784,5273,8772,1140
Gujarat,Rabi,13102,1942,7086,72,Hybrid,250,7,General,121,28,56,121,15,30,261410,7714,11973,1130
Karnataka,Kharif,11812,2829,7516,64,Hybrid,224,6,General,143,25,67,152,13,27,347748,10627,9744,900
Andhra Pradesh,Rabi,21538,2719,8307,92,Non-Hybrid,273,5,General,82,26,52,152,20,20,297439,5441,11743,908
Punjab,Kharif,15623,2840,6949,60,Non-Hybrid,207,4,Cold,169,28,71,189,17,27,395667,9539,12190,1168
Andhra Pradesh,Rabi,21877,2800,7880,89,Hybrid,305,6,General,121,27,57,199,16,26,395254,8515,11073,1001
Uttar Pradesh,Rabi,20188,2478,7377,70,Non-Hybrid,204,4,General,138,27,72,131,14,28,289054,8924,12345,1140
Uttar Pradesh,Kharif,15042,2552,6120,66,Hybrid,274,6,General,102,25,60,199,14,23,273125,10074,8105,1102
Madhya Pradesh,Rabi,20174,1654,6778,77,Non-Hybrid,283,7,Cold,97,24,68,152,18,24,289667,10109,13981,1112
Karnataka,Rabi,21997,2174,8136,80,Non-Hybrid,212,6,General,142,27,70,176,17,21,315039,6656,8969,1010
Rajasthan,Kharif,16666,2763,7867,73,Hybrid,312,5,General,157,28,60,148,12,30,347917,11240,10336,1045
Uttar Pradesh,Kharif,13702,1953,6725,88,Non-Hybrid,221,7,Cold,120,24,51,130,17,23,343773,8222,8273,1070
Rajasthan,Rabi,21682,2243,8280,66,Hybrid,315,5,Cold,160,28,68,104,13,29,320499,10754,8117,1043
Punjab,Kharif,13220,1251,6876,62,Hybrid,307,5,Cold,146,24,59,133,20,24,392024,10790,11958,1151
Andhra Pradesh,Rabi,10191,2351,8198,82,Non-Hybrid,273,6,General,166,26,67,104,15,28,378874,10604,9357,994
Gujarat,Rabi,19934,2478,8333,95,Hybrid,313,7,Cold,139,24,66,150,20,25,264731,8469,14371,1004
Karnataka,Rabi,20952,2626,8257,92,Non-Hybrid,215,6,Cold,177,26,68,154,19,21,289162,9367,12944,1038
Rajasthan,Kharif,24381,1902,7614,63,Hybrid,264,4,Cold,172,29,54,136,17,30,340863,5342,14961,1083
Maharashtra,Rabi,15510,2410,6089,65,Hybrid,241,5,Cold,132,25,67,121,20,24,332557,7981,9438,1124
Rajasthan,Rabi,16018,1902,8237,92,Hybrid,234,7,Cold,110,28,59,165,12,22,334604,5154,9051,999
Karnataka,Kharif,19995,1760,7923,62,Hybrid,205,5,General,163,27,73,143,18,20,312316,11537,11580,1130
Maharashtra,Kharif,13375,1362,6610,66,Hybrid,244,6,Cold,177,26,69,140,14,29,383311,11073,8239,970
Karnataka,Rabi,20358,2465,6724,64,Non-Hybrid,279,7,General,102,28,63,100,17,22,305172,5055,10707,952
Madhya Pradesh,Rabi,12529,2634,7531,87,Non-Hybrid,318,5,General,89,24,72,121,14,20,321114,6442,10989,1031
Maharashtra,Rabi,18275,2419,7945,93,Non-Hybrid,252,7,Cold,124,27,67,166,19,25,323876,10752,14336,1174
West Bengal,Kharif,20365,2042,6121,63,Non-Hybrid,308,6,General,171,24,68,102,16,27,330577,11167,11066,1078
Andhra Pradesh,Rabi,19755,2272,6503,63,Hybrid,301,7,Cold,107,27,73,128,17,26,393195,6380,9577,1121
Punjab,Rabi,12968,2878,7783,86,Non-Hybrid,280,5,General,130,30,60,179,20,21,306939,6472,14849,955
Punjab,Kharif,13476,2143,7484,80,Hybrid,282,4,General,136,24,58,147,13,25,278345,8255,10137,1078
Andhra Pradesh,Rabi,12928,1576,6281,78,Hybrid,283,5,General,116,24,58,100,12,26,391474,8535,12621,1068
Maharashtra,Rabi,18912,2748,8305,75,Hybrid,290,4,General,175,30,66,120,19,24,390961,9177,14852,1026
Karnataka,Kharif,24158,2012,6003,79,Hybrid,306,4,General,92,27,55,107,18,26,335027,9361,12357,1020
Karnataka,Kharif,13160,2987,7573,90,Hybrid,286,7,Cold,127,25,65,117,20,21,287489,6716,9548,982
Rajasthan,Kharif,12383,1368,7344,94,Hybrid,227,5,Cold,179,28,71,181,13,30,315141,6232,13366,946
West Bengal,Rabi,15462,1300,7021,75,Non-Hybrid,217,6,General,132,28,64,145,17,21,374792,5164,9352,1172
Rajasthan,Rabi,15914,2738,8320,67,Hybrid,278,4,General,140,25,60,156,13,28,382048,6712,9783,923
Tamil Nadu,Rabi,18176,1428,7495,60,Hybrid,225,6,Cold,104,28,66,169,15,21,392854,9381,10182,989
West Bengal,Kharif,19631,2303,6497,82,Non-Hybrid,201,4,Cold,134,30,74,140,13,20,303427,7471,12899,1137
Punjab,Kharif,15999,1805,6526,62,Hybrid,293,7,Cold,86,29,51,121,14,25,294178,5487,10638,970
West Bengal,Kharif,18270,1669,6415,73,Hybrid,200,6,General,179,27,67,140,19,22,278438,11630,13637,1017
Tamil Nadu,Kharif,15663,1706,7708,66,Hybrid,283,4,General,127,24,69,130,13,27,257334,9450,10990,1142
Andhra Pradesh,Rabi,24518,2477,8242,91,Hybrid,302,5,Cold,173,24,69,127,16,22,395672,11194,12957,903
Uttar Pradesh,Rabi,23184,2259,8220,75,Non-Hybrid,228,6,General,180,28,57,106,13,22,377719,5462,14026,1152
Uttar Pradesh,Rabi,13887,1628,7195,85,Hybrid,298,7,Cold,160,25,74,196,12,29,357070,7508,14508,934
Madhya Pradesh,Rabi,18025,1938,6953,70,Hybrid,238,5,Cold,111,28,56,118,16,24,269738,10728,10613,1095
Karnataka,Rabi,13029,1591,7905,94,Hybrid,313,4,General,162,24,68,139,14,25,372587,8854,9975,1032
Karnataka,Kharif,21855,2961,6156,71,Non-Hybrid,316,4,General,141,26,51,103,16,29,289995,6775,13203,1056
Madhya Pradesh,Rabi,21417,2031,7965,64,Hybrid,299,6,General,163,30,66,190,17,27,288685,11916,10460,1056
West Bengal,Kharif,12328,1877,7731,81,Hybrid,204,5,Cold,115,28,71,120,18,30,257353,10510,13555,1047
Andhra Pradesh,Kharif,13610,1387,8266,89,Hybrid,222,5,General,93,24,72,124,19,29,339083,8682,11996,935
Madhya Pradesh,Rabi,19494,2901,7877,66,Non-Hybrid,303,7,General,123,28,73,104,18,30,363440,11518,8181,959
Uttar Pradesh,Rabi,17562,2828,7272,82,Non-Hybrid,253,7,General,133,26,69,135,17,28,275199,5600,10052,1159
Madhya Pradesh,Kharif,16052,2898,8253,79,Non-Hybrid,306,4,Cold,173,24,55,111,17,24,266079,7224,13829,1018
Maharashtra,Rabi,14058,1642,6125,82,Non-Hybrid,312,5,General,132,30,75,183,15,30,376675,9745,12095,1171
Punjab,Rabi,13623,2794,7851,88,Non-Hybrid,260,6,General,93,25,69,155,15,27,389511,9342,10364,1185
Rajasthan,Kharif,19884,2302,6808,78,Non-Hybrid,239,6,General,164,27,67,119,16,25,303910,8683,13802,1144
Karnataka,Rabi,10139,1218,6156,85,Hybrid,215,4,Cold,140,28,59,136,17,23,284428,7150,10612,1087
Tamil Nadu,Kharif,21746,1819,7301,95,Non-Hybrid,263,7,Cold,174,28,75,164,19,25,397841,11821,11064,1158
Gujarat,Rabi,21450,1567,8191,75,Hybrid,259,6,Cold,85,27,53,163,12,21,363010,5432,9178,1171
Tamil Nadu,Rabi,14242,1532,7662,91,Non-Hybrid,226,5,Cold,115,25,72,183,16,25,366315,9323,11554,920
Uttar Pradesh,Kharif,24687,2608,7954,73,Non-Hybrid,320,4,Cold,140,25,72,188,13,25,286820,6884,13283,1110
Andhra Pradesh,Rabi,17131,2594,6846,65,Hybrid,258,4,General,158,24,58,175,19,26,268176,9554,11216,932
Andhra Pradesh,Kharif,11554,2556,7938,81,Hybrid,251,7,General,92,30,55,115,16,25,366759,11262,8985,1091
Gujarat,Rabi,20973,1968,8313,74,Non-Hybrid,204,4,General,115,26,69,103,20,29,291700,11033,10368,1041
Uttar Pradesh,Kharif,12048,2041,7528,67,Non-Hybrid,280,6,General,117,29,59,121,13,27,295593,5679,8020,1195
Uttar Pradesh,Rabi,16790,2952,7076,72,Non-Hybrid,271,7,General,135,27,73,146,19,23,311700,7884,8048,961
Maharashtra,Rabi,12145,2384,6264,76,Non-Hybrid,205,6,Cold,142,30,66,192,20,20,285361,11857,12054,979
West Bengal,Rabi,19636,2711,7289,73,Hybrid,287,7,General,133,24,55,169,13,22,290451,8049,9225,1158
Maharashtra,Kharif,23485,2157,6867,82,Hybrid,307,6,General,111,30,62,172,13,30,388639,8764,9323,1135
Andhra Pradesh,Rabi,19929,2342,6176,66,Hybrid,204,4,Cold,168,24,60,160,20,28,381853,6483,8834,1034
Maharashtra,Rabi,15874,2101,6004,89,Non-Hybrid,301,5,Cold,105,26,64,115,12,24,384524,10184,12958,1005
Tamil Nadu,Rabi,22802,2040,6785,70,Non-Hybrid,254,6,Cold,147,28,68,183,15,23,376121,7198,13171,1166
West Bengal,Rabi,20249,2465,8289,65,Non-Hybrid,302,4,Cold,100,30,65,130,18,29,309272,6713,14195,903
Maharashtra,Kharif,19460,2462,6268,87,Hybrid,274,6,General,112,25,64,102,18,23,261188,9819,13894,1106
Madhya Pradesh,Kharif,13909,1518,6246,90,Non-Hybrid,248,6,General,172,28,59,133,20,22,374846,7283,14289,1081
Andhra Pradesh,Rabi,21100,2599,8185,76,Hybrid,292,4,Cold,108,26,57,147,19,26,322785,8521,14494,1016
Karnataka,Rabi,20722,2072,6787,69,Non-Hybrid,222,5,Cold,176,25,56,145,14,28,257870,6697,8245,1154
Madhya Pradesh,Rabi,15157,2486,6799,93,Non-Hybrid,216,5,Cold,160,30,60,105,19,27,300409,9829,12857,977
Maharashtra,Kharif,13900,2180,6943,64,Hybrid,246,5,General,95,29,66,163,13,26,285538,9579,8584,955
Uttar Pradesh,Rabi,16622,2530,7437,66,Non-Hybrid,209,7,Cold,119,29,56,104,19,20,254650,8388,10467,1157
Andhra Pradesh,Rabi,15696,1814,7753,76,Non-Hybrid,204,7,Cold,139,24,60,113,12,27,362967,6774,10116,941
Gujarat,Kharif,18111,1897,6916,71,Hybrid,211,5,General,98,30,56,127,20,23,356208,10229,13139,988
Maharashtra,Kharif,20654,1748,7192,71,Non-Hybrid,256,6,Cold,177,30,58,172,18,26,280570,11010,10172,950
Tamil Nadu,Kharif,13651,2597,7157,67,Hybrid,306,7,Cold,151,27,65,166,20,26,380642,10982,11592,1080
Rajasthan,Rabi,22363,1990,7604,80,Hybrid,297,5,General,116,27,52,184,14,24,296604,9618,14242,1161
Andhra Pradesh,Rabi,13947,2532,8026,74,Hybrid,241,7,General,172,30,61,168,12,26,253978,9818,11601,1156
Maharashtra,Kharif,22560,2259,7651,62,Non-Hybrid,227,7,Cold,164,25,67,163,12,21,272469,6318,9588,1105
Rajasthan,Kharif,24981,1514,7112,89,Non-Hybrid,298,7,Cold,111,28,61,175,12,30,317219,11785,10589,966
Maharashtra,Kharif,23122,2561,7386,71,Non-Hybrid,240,4,Cold,171,30,67,156,18,20,312037,11538,12533,1054
Gujarat,Rabi,16273,2264,6364,69,Non-Hybrid,311,7,General,158,29,54,106,19,25,312499,5208,13643,983
Maharashtra,Kharif,20733,1947,6618,77,Non-Hybrid,294,4,General,97,26,65,152,18,28,313704,10416,8731,969
Uttar Pradesh,Rabi,10032,2660,7993,90,Hybrid,296,4,Cold,166,28,57,192,17,21,327105,5184,14459,1024
Uttar Pradesh,Rabi,14769,1693,7324,69,Hybrid,304,4,Cold,95,30,55,181,15,22,325975,5258,14310,907
Maharashtra,Kharif,15717,1888,6535,75,Hybrid,285,6,Cold,127,30,65,130,19,24,313334,10402,12412,908
